MSZoning,LotFrontage,LotArea,Street,Alley,Utilities,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,ScreenPorch,PoolQC,Fence,MiscFeature,SalePrice
RL,61.0,7658,Pave,,AllPub,9,5,412.0,Ex,TA,Ex,No,1752,Ex,Y,1752,0,1752,1,2,2,1,Ex,6,1,Gd,2,576,TA,196,82,0,,,,319900
RL,48.0,12822,Pave,,AllPub,7,5,0.0,Gd,TA,Ex,No,1434,Ex,Y,1518,631,2149,1,1,1,1,Gd,6,1,Ex,2,670,TA,168,43,198,,,,239686
FV,84.0,11096,Pave,,AllPub,8,5,0.0,Gd,TA,Gd,Av,1656,Ex,Y,1656,0,1656,0,2,3,1,Gd,7,0,,3,826,TA,0,146,0,,,,249700
RM,33.0,4456,Pave,,AllPub,4,5,0.0,TA,TA,TA,No,736,Gd,Y,736,716,1452,0,2,2,3,TA,8,0,,0,0,,0,0,0,,,,113000
RL,66.0,7742,Pave,,AllPub,5,7,0.0,TA,TA,TA,No,955,Ex,Y,955,0,955,1,1,3,1,TA,6,0,,1,386,TA,0,0,0,,MnPrv,,127000
RL,,13869,Pave,,AllPub,6,6,0.0,TA,TA,Gd,Av,794,Gd,Y,794,676,1470,0,2,3,1,TA,6,0,,2,388,TA,0,75,0,,,,177000
RM,52.0,6240,Pave,,AllPub,6,6,0.0,TA,TA,TA,No,816,TA,Y,816,0,1176,0,1,3,1,TA,6,1,Gd,2,528,TA,112,0,0,,MnPrv,Shed,114500
RM,110.0,8472,Grvl,,AllPub,5,5,0.0,Fa,TA,Gd,Gd,816,TA,N,816,0,816,1,1,2,1,TA,5,0,,2,516,TA,106,0,0,,,,110000
RL,68.0,50271,Pave,,AllPub,9,5,0.0,Gd,TA,Ex,Gd,1842,Gd,Y,1842,0,1842,2,0,0,1,Gd,5,1,Gd,3,894,TA,857,72,0,,,,385000
RL,60.0,7134,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,384,TA,Y,1360,0,1360,0,1,3,1,TA,6,1,TA,2,572,TA,0,50,0,,MnPrv,,130000
RL,100.0,10175,Pave,,AllPub,6,5,272.0,TA,TA,TA,No,1425,Gd,Y,1425,0,1425,0,2,3,1,TA,7,1,Gd,2,576,TA,0,0,0,,,,180500
FV,24.0,2645,Pave,Pave,AllPub,8,5,456.0,Gd,TA,Gd,No,970,Ex,Y,983,756,1739,1,2,3,1,Gd,7,0,,2,480,TA,115,0,0,,,,172500
RL,89.0,11645,Pave,,AllPub,7,5,0.0,Gd,TA,Gd,No,860,Ex,Y,860,860,1720,0,2,3,1,Gd,7,0,,2,565,TA,0,70,0,,,,196500
RL,66.0,13682,Pave,,AllPub,10,5,1031.0,Ex,TA,Ex,Gd,1410,Ex,Y,1426,1519,2945,0,3,3,1,Gd,10,1,Gd,3,641,TA,192,0,0,,,,438780
RL,60.0,7200,Pave,,AllPub,5,7,0.0,TA,TA,TA,Av,780,Ex,Y,780,0,780,0,1,2,1,TA,4,0,,1,352,TA,196,0,0,,MnPrv,,124900
RL,63.0,13072,Pave,,AllPub,6,5,0.0,TA,TA,Gd,No,1158,Ex,Y,1158,0,1158,1,1,3,1,Gd,5,0,,2,576,TA,0,50,0,,,,158000
RM,60.0,7200,Pave,,AllPub,5,7,0.0,TA,TA,TA,No,530,TA,N,581,530,1111,0,1,3,1,Fa,6,0,,1,288,TA,0,0,0,,,,101000
RL,44.0,6442,Pave,,AllPub,8,5,178.0,Gd,TA,Gd,Mn,1370,Ex,Y,1370,0,1370,0,2,2,1,Gd,6,1,Gd,2,484,TA,120,49,0,,,,202500
RM,50.0,10300,Pave,,AllPub,7,6,0.0,TA,TA,TA,No,576,Gd,Y,902,808,1710,0,2,3,1,TA,9,0,,2,480,TA,12,11,0,,GdPrv,,140000
RL,,9375,Pave,,AllPub,7,5,573.0,TA,TA,Gd,No,1057,Ex,Y,1057,977,2034,1,2,3,1,Gd,8,0,,2,645,TA,576,36,0,,GdPrv,,219500
RL,76.0,9591,Pave,,AllPub,8,5,344.0,Gd,TA,Ex,Av,1143,Ex,Y,1143,1330,2473,0,2,4,1,Gd,9,1,Gd,3,852,TA,192,151,0,,,,317000
RL,,19900,Pave,,AllPub,7,5,287.0,TA,TA,Gd,Gd,1947,TA,Y,2207,0,2207,1,2,3,1,TA,7,1,Gd,2,576,TA,301,0,0,,,,180000
RL,72.0,10665,Pave,,AllPub,7,5,167.0,Gd,TA,Gd,Av,1453,Ex,Y,1479,0,1479,1,2,3,1,Gd,7,0,,2,558,TA,144,29,0,,,,226000
RM,47.0,4608,Pave,,AllPub,4,6,0.0,TA,Gd,TA,No,747,TA,Y,747,0,747,0,1,2,1,TA,4,0,,1,220,TA,0,0,0,,,,80000
RL,81.0,15593,Pave,,AllPub,7,4,0.0,Gd,TA,TA,No,1304,TA,Y,1304,983,2287,0,2,3,1,TA,7,1,TA,2,667,TA,0,21,0,,,,225000
RL,95.0,13651,Pave,,AllPub,7,6,1115.0,TA,Gd,Gd,Gd,2223,Ex,Y,2223,0,2223,1,2,3,1,TA,8,2,Gd,2,516,TA,300,0,0,,,,244000
RL,69.0,7599,Pave,,AllPub,4,6,0.0,TA,TA,TA,No,845,TA,Y,845,0,845,1,1,2,1,TA,4,0,,2,360,TA,0,0,0,,,,129500
RL,74.0,10141,Pave,,AllPub,7,5,40.0,TA,TA,Gd,No,832,Gd,Y,885,833,1718,0,2,3,1,TA,7,1,TA,2,427,TA,0,94,291,,,,185000
RL,85.0,10200,Pave,,AllPub,5,7,104.0,TA,TA,TA,No,1086,Gd,Y,1086,0,1086,1,1,3,1,TA,6,0,,2,490,TA,0,0,0,,GdWo,,144900
RM,60.0,5790,Pave,,AllPub,3,6,0.0,Gd,Gd,Fa,No,840,Gd,N,840,765,1605,0,2,3,2,TA,8,0,,1,379,TA,0,0,0,,,,107400
RM,21.0,1596,Pave,,AllPub,4,5,0.0,TA,TA,Gd,Gd,462,TA,Y,526,462,988,1,1,2,1,TA,5,0,,1,297,TA,120,101,0,,GdWo,,91000
RL,,8475,Pave,,AllPub,4,7,0.0,TA,TA,TA,No,952,Ex,Y,952,0,952,0,1,2,1,TA,4,0,,1,283,TA,0,0,0,,,,135750
RM,50.0,8635,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,672,TA,Y,1072,213,1285,1,1,2,1,TA,6,0,,1,240,TA,0,0,0,,MnPrv,,127000
RL,72.0,10778,Pave,,AllPub,4,5,0.0,TA,TA,TA,No,1768,TA,N,1768,0,1768,0,2,4,2,TA,8,0,,0,0,,0,0,0,,,,136500
RM,60.0,10440,Pave,Grvl,AllPub,5,6,0.0,TA,TA,TA,No,440,Gd,Y,682,548,1230,0,1,2,1,TA,5,0,,2,440,TA,74,0,0,,MnPrv,,110000
RL,100.0,13000,Pave,,AllPub,6,6,576.0,TA,Gd,Gd,No,896,TA,Y,1182,960,2142,0,2,4,1,Gd,8,1,Gd,1,509,TA,0,72,252,,,,193500
RM,32.0,4500,Pave,,AllPub,6,5,443.0,TA,Gd,Ex,No,1237,Ex,Y,1337,0,1337,1,2,2,1,TA,5,0,,2,405,TA,0,199,0,,,,153500
RL,78.0,10206,Pave,,AllPub,8,5,468.0,TA,TA,Gd,No,1563,Ex,Y,1563,0,1563,0,2,3,1,Gd,6,1,Gd,3,758,TA,144,99,0,,,,245000
RL,80.0,8892,Pave,,AllPub,5,5,66.0,TA,TA,TA,No,1065,Gd,Y,1065,0,1065,0,1,3,1,TA,6,0,,2,461,TA,74,0,0,,,,126500
RL,,8530,Pave,,AllPub,7,5,22.0,TA,TA,Gd,No,384,Gd,Y,804,670,1474,0,2,3,1,TA,7,1,TA,2,400,TA,120,72,0,,,Shed,168500
RL,121.0,16059,Pave,,AllPub,8,5,284.0,Gd,TA,Gd,No,1288,Ex,Y,1301,1116,2417,0,2,4,1,Gd,9,1,TA,2,462,TA,127,82,0,,,,260000
RL,122.0,11911,Pave,,AllPub,6,5,0.0,Gd,TA,Gd,Av,684,Ex,Y,684,876,1560,0,2,3,1,Gd,6,1,Gd,2,400,TA,100,38,0,,,,174000
FV,40.0,3951,Pave,Pave,AllPub,6,5,76.0,Gd,TA,Gd,Av,612,Ex,Y,612,612,1224,0,2,2,1,Gd,4,0,,2,528,TA,0,234,0,,,,164500
C (all),105.0,8470,Pave,,AllPub,3,2,0.0,Fa,Fa,TA,No,1013,TA,N,1013,0,1526,0,1,2,1,Fa,6,0,,0,0,,0,0,0,,MnPrv,,85000
RL,60.0,8070,Pave,,AllPub,4,5,0.0,TA,TA,Gd,No,990,Ex,Y,990,0,990,1,1,3,1,TA,5,0,,0,0,,0,0,0,,,,123600
RL,60.0,7200,Pave,,AllPub,4,5,0.0,TA,TA,,,0,TA,Y,1040,0,1040,0,1,2,1,TA,4,0,,2,420,TA,0,29,0,,,,109900
RL,85.0,8500,Pave,,AllPub,5,3,203.0,TA,TA,TA,No,1235,TA,Y,1235,0,1235,0,1,2,1,TA,6,0,,2,480,TA,0,0,0,,GdWo,,98600
RL,80.0,13360,Pave,Grvl,AllPub,5,7,0.0,TA,Gd,Gd,No,876,Ex,Y,964,0,964,1,1,2,1,TA,5,0,,2,432,TA,0,0,0,,,,163500
C (all),60.0,7200,Pave,,AllPub,6,6,0.0,TA,TA,TA,Mn,1214,Ex,N,1260,1031,2291,0,2,4,2,TA,9,1,Gd,2,506,TA,0,0,99,,,,133900
RL,69.0,9337,Pave,,AllPub,6,5,0.0,TA,Gd,Gd,No,824,Ex,Y,905,881,1786,1,2,3,1,Gd,7,0,,2,684,TA,0,162,0,,,,204750
RL,,9765,Pave,,AllPub,6,8,68.0,Ex,Gd,Gd,No,680,Gd,Y,680,790,1470,0,2,3,1,TA,6,1,TA,2,420,TA,232,63,0,,,Shed,185000
RL,78.0,10264,Pave,,AllPub,7,5,183.0,Gd,TA,Gd,Av,1588,Ex,Y,1588,0,1588,0,2,3,1,Gd,6,0,,2,472,TA,158,29,0,,,,214000
RL,73.0,10921,Pave,,AllPub,4,5,48.0,TA,TA,TA,No,960,TA,Y,960,0,960,1,1,3,1,TA,6,0,,1,432,TA,120,0,0,,,,94750
RL,85.0,10625,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,458,Fa,N,835,0,835,0,1,2,1,TA,5,0,,1,366,Fa,0,0,0,,,Shed,83000
RL,77.0,9320,Pave,,AllPub,4,5,0.0,TA,TA,TA,No,950,Fa,Y,1225,0,1225,1,1,3,1,TA,6,0,,0,0,,352,0,0,,,Shed,128950
RL,,10603,Pave,,AllPub,6,7,28.0,TA,TA,TA,Mn,1610,Gd,Y,1610,0,1610,1,2,3,1,Gd,6,2,TA,2,480,TA,168,68,0,,,,205000
RL,77.0,9206,Pave,,AllPub,6,5,336.0,Gd,TA,Gd,No,741,TA,Y,977,755,1732,0,2,3,1,Gd,7,1,TA,2,476,TA,192,46,0,,,,178000
RL,64.0,7018,Pave,,AllPub,5,5,0.0,TA,Fa,,,0,TA,Y,1535,0,1535,0,2,4,2,TA,8,0,,2,410,TA,0,0,0,,,,118964
RL,94.0,10402,Pave,,AllPub,7,5,0.0,TA,TA,Gd,No,1226,Ex,Y,1226,0,1226,0,2,3,1,Gd,6,0,,3,740,TA,0,36,0,,,,198900
RM,,7758,Pave,,AllPub,7,4,600.0,TA,Fa,TA,No,1040,Ex,Y,1226,592,1818,0,1,4,1,TA,7,2,TA,1,240,TA,0,0,184,,,,169500
FV,75.0,9375,Pave,,AllPub,8,5,768.0,Gd,TA,Ex,No,1053,Ex,Y,1053,939,1992,0,2,3,1,Gd,9,1,Gd,2,648,TA,140,45,0,,,,250000
RM,60.0,10800,Pave,Grvl,AllPub,4,7,0.0,TA,TA,Fa,No,641,Gd,Y,1047,0,1047,0,1,2,1,TA,6,0,,1,273,Fa,0,0,0,,,Shed,100000
RM,50.0,6000,Pave,,AllPub,5,5,0.0,TA,TA,TA,No,789,Ex,Y,789,0,789,0,1,2,1,TA,5,0,,1,250,TA,0,0,0,,,,115000
RM,85.0,8500,Pave,,AllPub,5,7,0.0,TA,TA,TA,No,793,TA,N,997,520,1517,0,2,3,1,Fa,7,0,,0,0,,0,0,0,,,,115000
RL,105.0,11751,Pave,,AllPub,6,6,480.0,TA,TA,Gd,No,1844,Ex,Y,1844,0,1844,0,2,3,1,TA,7,1,TA,2,546,TA,0,122,0,,MnPrv,,190000
RL,75.0,9525,Pave,,AllPub,6,4,0.0,TA,TA,TA,No,994,Gd,Y,1216,639,1855,0,2,4,1,TA,7,0,,1,325,TA,182,0,0,,,,136900
RL,,7750,Pave,,AllPub,7,5,0.0,TA,TA,Gd,No,384,Ex,Y,774,656,1430,0,2,3,1,TA,7,1,TA,2,400,TA,180,0,0,,,,180000
RL,77.0,9965,Pave,,AllPub,7,5,220.0,Gd,TA,Ex,Av,1264,Ex,Y,1282,1414,2696,1,2,4,1,Ex,10,1,Gd,3,792,TA,120,184,168,,,,383970
RL,,21000,Pave,,AllPub,6,5,184.0,TA,Gd,Gd,Mn,1809,TA,Y,2259,0,2259,1,2,3,1,Gd,7,2,Gd,2,450,TA,166,120,0,,MnPrv,,217000
RL,61.0,7259,Pave,,AllPub,6,8,0.0,TA,TA,TA,No,1028,Ex,Y,1436,884,2320,1,2,3,1,Gd,9,1,TA,1,180,TA,224,0,0,,MnPrv,,259500
FV,34.0,3230,Pave,Pave,AllPub,6,5,1129.0,TA,TA,Gd,No,729,Gd,Y,729,729,1458,0,2,2,1,TA,5,1,Fa,2,440,TA,0,32,0,,,,176000
RL,,11616,Pave,,AllPub,5,5,116.0,TA,TA,TA,No,1092,TA,Y,1092,0,1092,0,1,3,1,TA,6,1,Po,1,288,TA,0,20,0,,,,139000
RL,74.0,8536,Pave,,AllPub,5,5,0.0,TA,TA,Gd,No,1125,Gd,Y,1125,0,1125,0,1,2,1,TA,5,0,,2,430,TA,80,64,0,,,,155000
RL,90.0,12376,Pave,,AllPub,7,5,0.0,TA,TA,Gd,Mn,1673,Gd,Y,1699,1523,3222,1,3,5,1,Gd,11,2,TA,3,594,TA,367,0,0,,,,320000
RL,65.0,8461,Pave,,AllPub,6,5,0.0,Gd,TA,Gd,No,728,Ex,Y,728,728,1456,0,2,3,1,Gd,8,1,Gd,2,390,TA,0,24,0,,,,163990
RL,,21453,Pave,,AllPub,6,5,0.0,TA,TA,TA,Gd,938,Ex,Y,988,0,988,1,1,1,1,TA,4,2,TA,2,540,TA,0,130,0,,,,180000
RM,50.0,6060,Pave,,AllPub,4,5,0.0,TA,TA,TA,No,732,Gd,Y,772,351,1123,0,1,3,1,TA,4,0,,1,264,TA,0,0,0,,MnPrv,,100000
RL,75.0,9464,Pave,,AllPub,6,7,135.0,TA,Gd,TA,No,1080,Gd,Y,1080,0,1080,0,1,3,1,TA,5,0,,1,288,TA,0,0,130,,,,136000
RL,55.0,7892,Pave,,AllPub,6,5,0.0,Gd,TA,Gd,No,1199,Ex,Y,1199,0,1199,0,2,2,1,Gd,5,0,,2,530,TA,0,63,0,,,,153900
RL,48.0,17043,Pave,,AllPub,6,5,0.0,TA,Gd,Gd,No,1362,TA,Y,1586,0,1586,0,2,3,1,TA,7,1,TA,2,435,TA,192,0,0,,,,181000
RM,60.0,6780,Pave,,AllPub,6,8,0.0,TA,Fa,TA,Av,520,Gd,N,520,0,754,1,1,2,1,TA,5,0,,0,0,,53,0,0,,,,84500
RL,,4928,Pave,,AllPub,6,5,0.0,TA,TA,Gd,No,1078,TA,Y,958,0,958,0,2,2,1,TA,5,1,TA,2,440,TA,0,205,0,,,,128000
RM,55.0,4388,Pave,,AllPub,5,7,0.0,TA,Gd,TA,No,672,Ex,Y,840,0,840,0,1,3,1,TA,5,1,TA,0,0,,0,0,0,,,,87000
RL,69.0,7590,Pave,,AllPub,6,5,266.0,TA,TA,TA,No,660,TA,Y,660,688,1348,0,1,3,1,TA,6,1,Fa,2,453,TA,188,108,0,,,,155000
RL,69.0,8973,Pave,,AllPub,5,7,85.0,TA,TA,TA,No,1008,TA,Y,1053,0,1053,0,1,3,1,Ex,6,0,,2,750,TA,0,80,0,,MnWw,,150000
RL,88.0,14200,Pave,,AllPub,7,6,309.0,TA,TA,TA,No,924,Ex,Y,1216,941,2157,0,2,4,1,Gd,8,2,Gd,2,487,TA,105,66,0,,GdPrv,,226000
RL,,12224,Pave,,AllPub,6,5,40.0,Gd,TA,Gd,No,992,Ex,Y,1022,1032,2054,1,2,3,1,Gd,7,1,TA,2,390,TA,24,48,0,,,,244000
RL,75.0,7388,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,1063,Gd,Y,1327,0,1327,1,1,3,1,Gd,7,0,,2,624,TA,0,0,0,,,,150750
RL,,6853,Pave,,AllPub,8,5,136.0,Gd,TA,Ex,No,1267,Ex,Y,1296,0,1296,1,2,2,1,Gd,6,0,,2,471,TA,192,25,0,,,,220000
RL,78.0,10335,Pave,,AllPub,5,6,0.0,TA,TA,TA,No,1461,Gd,Y,1721,0,1721,0,2,3,1,TA,7,1,TA,2,440,TA,0,96,0,,MnPrv,,180000
RL,80.0,10400,Pave,,AllPub,7,6,288.0,TA,TA,TA,No,1304,Gd,Y,1682,0,1682,0,2,3,1,TA,7,1,Gd,2,530,TA,98,0,0,,MnPrv,,174000
RL,,10355,Pave,,AllPub,5,5,196.0,TA,TA,TA,No,1214,TA,Y,1214,0,1214,0,2,3,1,TA,5,1,Fa,1,318,TA,0,111,0,,,,143000
RL,82.0,11070,Pave,,AllPub,7,5,70.0,TA,TA,TA,No,1907,Gd,Y,1959,0,1959,0,3,5,2,TA,9,0,,3,766,TA,0,0,0,,,,171000
RL,73.0,9066,Pave,,AllPub,8,5,320.0,Gd,TA,Gd,Mn,1004,Ex,Y,1004,848,1852,0,2,3,1,Gd,7,2,TA,3,660,TA,224,106,0,,GdPrv,,230000
RL,65.0,15426,Pave,,AllPub,6,5,0.0,TA,TA,Gd,No,928,Ex,Y,928,836,1764,1,2,3,1,Gd,7,0,,2,470,TA,276,99,0,,MnPrv,,231500
RL,70.0,10500,Pave,,AllPub,4,5,0.0,TA,TA,TA,No,864,TA,Y,864,0,864,0,1,3,1,TA,5,1,Po,0,0,,0,0,0,,,,115000
RL,78.0,11645,Pave,,AllPub,7,5,0.0,Gd,TA,Gd,Av,1734,Ex,Y,1734,0,1734,1,2,3,1,Gd,7,0,,2,660,TA,160,24,0,,,,260000
